study_id,year,title,doi,corpus_tier,evidence_status,commodity_system,region,model_family,learning_regime,primary_reliability_focus,validation_class,label_validity,calibration_uncertainty,interpretability_geology,reproducibility,quality_score,quality_band,generalization_claim_eligibility,case_study_relevance,source_url
CORE001,2026,"Mineral prospectivity mapping under extreme imbalance using contrastive embeddings, balanced learning and integrated uncertainty analysis",10.1007/s10791-026-10192-z,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Other ML/DL or workflow study,Supervised or hybrid,Spatial validation; Data scarcity/imbalance; Uncertainty/stability; Geological consistency/XAI,Strong spatial/cross-cluster,Absent/not demonstrated,Strong,Strong,Absent/not demonstrated,20,HIGH_SUPPORT,YES,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://link.springer.com/article/10.1007/s10791-026-10192-z
CORE002,2020,Boosting for Mineral Prospectivity Modeling: A New GIS Toolbox,10.1007/s11053-019-09483-8,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Ensemble / boosting,Supervised ensemble,Data scarcity/imbalance; Uncertainty/stability; Reproducibility,Random/within-area or not demonstrated,Absent/not demonstrated,Partial,Partial,Strong,17,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://link.springer.com/article/10.1007/s11053-019-09483-8
CORE003,2024,Workflow-Induced Uncertainty in Data-Driven Mineral Prospectivity Mapping,10.1007/s11053-024-10322-8,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Other ML/DL or workflow study,Supervised or hybrid,Label validity; Spatial validation; Data scarcity/imbalance; Uncertainty/stability,Partial/spatially aware,Partial,Strong,Partial,Partial,19,HIGH_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://link.springer.com/article/10.1007/s11053-024-10322-8
CORE004,2025,Class Label Representativeness in Machine Learning-Based Mineral Prospectivity Mapping,10.1007/s11053-025-10468-z,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Other ML/DL or workflow study,Supervised or hybrid,Label validity; Spatial validation; Data scarcity/imbalance; Uncertainty/stability,Partial/spatially aware,Strong,Partial,Partial,Absent/not demonstrated,17,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://link.springer.com/article/10.1007/s11053-025-10468-z
CORE005,2019,"GIS-based mineral prospectivity mapping using machine learning methods: A case study from Tongling ore district, eastern China",10.1016/j.oregeorev.2019.04.003,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Other ML/DL or workflow study,Supervised or hybrid,Architecture/performance,Random/within-area or not demonstrated,Absent/not demonstrated,Absent/not demonstrated,Partial,Absent/not demonstrated,12,LOW_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.sciencedirect.com/science/article/pii/S0169136818307406
CORE006,2021,"Mineral prospectivity mapping by deep learning method in Yawan-Daqiao area, Gansu",10.1016/j.oregeorev.2021.104316,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Generative model / GAN,Supervised or hybrid,Architecture/performance,Random/within-area or not demonstrated,Absent/not demonstrated,Absent/not demonstrated,Partial,Absent/not demonstrated,11,LOW_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.mindat.org/reference.php?id=13102543
CORE007,2023,Mineral prospectivity mapping using attention-based convolutional neural network,10.1016/j.oregeorev.2023.105381,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,CNN or convolutional hybrid,Supervised or hybrid,Uncertainty/stability; Geological consistency/XAI,Random/within-area or not demonstrated,Absent/not demonstrated,Partial,Strong,Partial,14,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.sciencedirect.com/science/article/pii/S0169136823000963
CORE008,2024,Improved mineral prospectivity mapping using graph neural networks,10.1016/j.oregeorev.2024.106215,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Graph neural network,Supervised or hybrid,Label validity; Data scarcity/imbalance; Geological consistency/XAI; Reproducibility,Random/within-area or not demonstrated,Partial,Absent/not demonstrated,Strong,Strong,16,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.sciencedirect.com/science/article/pii/S0169136824003482
CORE009,2025,"Enhancing porphyry copper prospectivity mapping: A deep autoencoder-based approach to identify non-deposit points in Varzaghan region, NW Iran",10.1016/j.oregeorev.2025.106705,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Autoencoder / representation learning,Unsupervised representation / anomaly learning,Label validity; Data scarcity/imbalance; Geological consistency/XAI,Random/within-area or not demonstrated,Partial,Absent/not demonstrated,Strong,Partial,15,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.sciencedirect.com/science/article/pii/S0169136825002653
CORE010,2025,Multi-model decision system: An ensemble deep learning model to enhance predictive power in mineral prospectivity mapping,10.1016/j.oregeorev.2025.106768,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Ensemble / boosting,Supervised ensemble,Uncertainty/stability,Random/within-area or not demonstrated,Absent/not demonstrated,Strong,Partial,Absent/not demonstrated,13,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.sciencedirect.com/science/article/pii/S0169136825003282
CORE011,2025,A semi-supervised approach for mineral prospectivity mapping via weighted positive-unlabeled learning and tree-structured parzen estimator for hyperparameter optimization,10.1016/j.oregeorev.2025.106783,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Semi-supervised / positive-unlabeled,Semi-supervised / weak supervision,Label validity; Data scarcity/imbalance,Random/within-area or not demonstrated,Strong,Absent/not demonstrated,Partial,Absent/not demonstrated,17,MODERATE_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.sciencedirect.com/science/article/pii/S0169136825003439
CORE012,2025,Three-dimensional mineral prospectivity mapping using a residual convolutional neural network with lightweight attention mechanisms,10.1016/j.oregeorev.2025.106797,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,CNN or convolutional hybrid,Supervised or hybrid,Architecture/performance,Random/within-area or not demonstrated,Absent/not demonstrated,Absent/not demonstrated,Partial,Absent/not demonstrated,10,LOW_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.sciencedirect.com/science/article/pii/S0169136825003579
CORE013,2025,Mineral prospectivity mapping for multi-source geoscience data: A novel unsupervised deep learning method,10.1016/j.oregeorev.2025.106866,SECURE_CORE,INDEPENDENTLY_ADJUDICATED_PHASE1,Not fully standardized in Run 1,Not fully standardized in Run 1,Other ML/DL or workflow study,Unsupervised representation / anomaly learning,Data scarcity/imbalance,Random/within-area or not demonstrated,Absent/not demonstrated,Absent/not demonstrated,Partial,Partial,12,LOW_SUPPORT,NO,"Direct methodological evidence for architecture, input, scarcity, validation, or reliability design",https://www.sciencedirect.com/science/article/pii/S0169136825004263
