query_id,query_family,query,search_surface,purpose,captured_relevant_hits,notes
Q01,Core MPM + deep learning,"""mineral prospectivity mapping"" AND (""deep learning"" OR CNN OR transformer OR autoencoder OR ""graph neural network"")",Web-indexed scholarly search and publisher pages,High-recall core primary-study discovery,16,Publisher pages prioritized; captured count is not a database total.
Q02,"Validation, transferability and uncertainty","""mineral prospectivity mapping"" AND (validation OR ""spatial cross-validation"" OR transferability OR uncertainty OR calibration OR reproducibility)",Web-indexed scholarly search and publisher pages,Reliability-enriched retrieval,13,Includes conventional ML bridge studies when methodologically necessary.
Q03,"Scarcity, labels and imbalance","""mineral prospectivity mapping"" AND (""data scarcity"" OR ""limited labels"" OR imbalance OR ""positive-unlabeled"" OR ""negative samples"" OR augmentation)",Web-indexed scholarly search and publisher pages,Sparse-label and class-design retrieval,15,"Positive/unlabeled, non-deposit selection, SMOTE, focal loss and augmentation included."
Q04,"Architectures, feature selection and tuning","""mineral prospectivity mapping"" AND (attention OR transformer OR GNN OR ""feature selection"" OR ""hyperparameter optimization"")",Web-indexed scholarly search and publisher pages,Architecture and experimental-design retrieval,14,Architecture-only studies are retained only if reliability-relevant fields are extractable.
Q05,Porphyry copper and Chahargonbad,"(""porphyry copper"" OR Chahargonbad OR ""Kerman"") AND (""mineral prospectivity"" OR ""exploration targeting"") AND (deep learning OR machine learning OR data integration)",Web-indexed scholarly search and publisher pages,Thesis-transfer and study-area evidence,12,Includes knowledge-driven and classical MPM studies as transfer/context evidence.
Q06,Supervisor/author network,"""Golnaz Jozanikohan"" OR ""Maysam Abedi"" OR ""Mahmoud Reza Delavar"" with MPM, uncertainty, neural network and geospatial data integration terms",Web-indexed author and publisher search,Mandatory author-network recovery,10,No preferential inclusion; standard eligibility rules retained.
Q07,Self/semi-supervision and graph learning,"""mineral prospectivity mapping"" AND (""self-supervised"" OR ""semi-supervised"" OR graph OR contrastive OR ""foundation model"")",Web-indexed scholarly search and publisher pages,Emerging-method recovery,11,Preprints and version-of-record relations explicitly tracked.
Q08,Competing reviews,"(review OR ""systematic review"") AND (""mineral prospectivity mapping"" OR ""mineral exploration"") AND (""deep learning"" OR AI OR uncertainty)",Web-indexed scholarly search and publisher pages,Review overlap and saturation update,9,Reviews are separated from the primary-study screening set.
Q09,Backward/forward chaining seeds,Exact-title and DOI recovery from priority reviews and reliability papers,"Publisher pages, cited-by pages, repository relations",Seed citation-chaining queue,12,Full cited-reference exports remain pending where subscription indexes are unavailable.
Q10,Retraction/correction signals,"(retracted OR correction OR ""expression of concern"") AND ""mineral prospectivity mapping""","General web, publisher and Retraction Watch domain search",Initial integrity signal check,0,No positive signal found in bounded search; not a definitive Crossmark/Retraction Watch database audit.
Q11,Public-source fallback expansion and negative-label citation chain,"""mineral prospectivity mapping"" AND (""negative labeling"" OR ""label crossover"" OR ""recursive annotation"" OR ""spatial validation"")","Official publisher pages, open repositories, exact-title/DOI recovery and citation chaining",Close reliability gaps and recover version-of-record metadata after closed-database access failure,2,OpenAlex/Crossref API access was attempted but unavailable from the execution network; official public sources were used instead.
